# filter-repo commit map — 2026-07 history rewrite
#
# The 2026-07 secret scrub (git filter-repo: removed the tracked workspace/
# run archive, relativized absolute author paths) REWROTE EVERY COMMIT HASH.
# Any hash cited in a document written before that date is dead.
#
# Format: <old-hash> <new-hash>   (all-zero new-hash = commit dropped)
# Tags survived the rewrite and are the durable anchors:
#   echobot-v1          -> 957be3f49e9eba18022a546bef7e0d50de6e0fda
#   echobot-v2          -> 15edd7c910996210266f307b73585c6312ce42e4
#   lifecycle-baseline-1 -> (2026-07-15, post-rewrite; unaffected)
#
# Look up an old hash:  grep ^<old> docs/history/commit-map.txt
#
old                                      new
bcf133a718b4d47b4a12f261906344f10e0fb4b7 0e9a138a940ce70cad43dbc0dcc80b2d3a743ab0
bdb6077b43a49f5aa2b94853deff6028112c3c4b 94582254c804027464377dddfbcb89c6131f460e
bf330f842062eed0da1b94b2970642571e4455b4 545542de3314ed472151abf2f34fbe93c1da6a3e
c2a1ebfc1fff6470576ea34bbff281cdc5f1ceaf d8b1109c2c7fb5f41c14f6040165baee86469bbb
c492f1452e1fd59e72fe9a20777bbdaa1de22505 ffb261387bb85168ae87b6cac8707b9a9e13f03a
c6f6b02686c399d834de005e29209b55bbce0da6 384811ed63c918d756bdba63e9bc62c8241c5e4f
c97807be1509cb69920611bbbf382377b05757fb 8599a801b990e90581f6ed89bb0d19acf5b0fff3
ccb2413c3be83ddd97c75bae7c68e1b54faae1d2 2625283b2a62b0c0bcb245708e46868c133d8374
d109e19a5efcdf5d49072d70eedeada7d2711128 db384178c5cf05b4c1b336f10c07dd1152997339
d183f95e456df3212c9e45201052444c485cc09b e3d260540fa52b95b03ab8547722a109d77115d9
d24bc483ba55314ff5dd4d20f2914a9126319715 e3dbbaea6c3ce742896140e93af649d020ed428e
d2af6b41c35e38c0d7f92b2dce5ed27f7f696e8d 5ab7ef4d64639fc354461fd6e0330eba42760c69
d36d02bcb93a6620252712679557dfe0975a70d6 20cac506a2272edaaabe688ca948feb45c26a364
d494dc97f33c3626d92ff30b16eaaedf13f84119 bd0d4b3019060433530eed37267ce604c258443f
d63e2ca25fd6916c728f89cf70bf05a3d873560c 4b6f6b16846e6d84325850b801d3a3f39f15168e
ddf1fb5aaed4c5096a906020d7293b1c775c6477 2cd06f1bf62fa80563a97092451d51e76f75c326
df6a9b0ec453904f2f04c4abe9d6c9da8d1991fb a9a22cbbb02869e4e7202d5b27ec86a7a13e2688
e2e29500de131c93a8b0b02c643130d36ece4928 63a55064983c95e3effdcbe5e66a7e7982e415f4
e57bdf6334cd76fdab869b09a21e0712cce8bbf5 ec77ff0aa060aada1076054bbdaf6d8cf00ea485
e9ae3a832a117a6f065db6f8e40884997a1c5fa0 a3079b97baf6d7c43eb75b2e806cc1b43b6ccc06
eecdc91e76bff73aa236613f0a2ec3879efb93dd bc6c410a4c1a3395a2f5011010a6ea5acc2735e3
f05fce8a9c4b5dced06ab90f3de853bc1d2462d7 d960b0cc682b9c2d73eadcfc1460c085fc8a7488
f0816fdf2526263a863801af01d4a70feacacfc5 bb8ed5fc377e933bf93f2b5be0ce515da3ac7d13
f13bbd93bc527f137ba7fcb7452d29de0a43dd57 137a5e4728d0c02e47df99e5f89a49d2cd9c20fe
f1b7999d82356a882baa0355b164bb365bc78df5 5ab89506e689cd9d58fb0c4aaecb8c52d9f8797f
f2da2c9bda911e65a09a120e54804f41c2ebacf6 0733b5b268c026019d7e1fd581d623a399095398
f7d8d7080a60f88b43d1fcc463947533d2f074cb 489c45c9e8fd2c68274c83539e5ff79e74829aef
fd7e1ec3893f3c083c87a1da7fe3dcdd3039b1ea 31f3b3d370eb50876f3afef0731c808eb8433f2b
fe1c57bb96a0d91dd65bf5542a3ddfa699646ccc 7b26b3739b4398b15031a2a79b1296fdf00fc415
